CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  J 91DZBP8VWGMLFN ,  DATI ANAGRAFICI ABATECOLA ADALBERTO  POK <START:DOB> 1404 1970 <END> M ABBADIA CERRETO  AL CODICE FISCALE 
CODICE FISCALE   H AXTK UEW YZB  ,  DATI ANAGRAFICI ABATEMARCO ADELFO  POK <START:DOB> 9 3 5 8 2003 <END> M ABBADIA LARIANA  AN CODICE FISCALE 
CODICE FISCALE  E1DZX BWUSF KLVG ,  DATI ANAGRAFICI ABATEMINNICI ADIUTORE  POK <START:DOB> 3 6 1 4 6 2 8 4  <END> F ABBADIA SAN SALVATORE  AO CODICE FISCALE 
CODICE FISCALE  8 1T6 VEKGA RJH  ,  DATI ANAGRAFICI ABATESCIANNI AGABITO  POK <START:DOB> 23831916 <END> M ABBASANTA  AR CODICE FISCALE 
CODICE FISCALE  VGCO9A61HYNEUW D ,  DATI ANAGRAFICI ABBA AIACE  POK <START:DOB> 5169 1908 <END> M ABBATEGGIO  AP CODICE FISCALE 
CODICE FISCALE   D1P RWA6JNCOHB  ,  DATI ANAGRAFICI ABBADESSA ABBONDANZIO  POK <START:DOB>  21 30756 8  <END> M ABBIATEGRASSO  AT CODICE FISCALE 
CODICE FISCALE  JZM SHPG1TKE9UB  ,  DATI ANAGRAFICI ABBADO ADALCISO  POK <START:DOB> 03111976 <END> F ABETONE CUTIGLIANO  AV CODICE FISCALE 
CODICE FISCALE  E516PDOV HMIYSL  ,  DATI ANAGRAFICI ABBALI ADELINDO  POK <START:DOB> 14 09 1961 <END> F ABRIOLA  BA CODICE FISCALE 
CODICE FISCALE  LJWKRNXS68  EQ1B ,  DATI ANAGRAFICI ABBAMONTI ADMETO  POK <START:DOB> 1708 1900 <END> F ACATE  BT CODICE FISCALE 
CODICE FISCALE  RMO 9WHDJ6X5KA P ,  DATI ANAGRAFICI ABBATE AGAMENNONE  POK <START:DOB> 1 3 1 O 2017 <END> F ACCADIA  BL CODICE FISCALE 
CODICE FISCALE  EVHD ZK1IBXN ASM ,  DATI ANAGRAFICI ABBATI AICARDO  POK <START:DOB> 7 1 8 3 6 4 2 5  <END> F ACCEGLIO  BN CODICE FISCALE 
CODICE FISCALE  85Y GDNRSCFMW9Q  ,  DATI ANAGRAFICI ABBIA ABBONDAZIO  POK <START:DOB> 6OO91910 <END> F ACCETTURA  BG CODICE FISCALE 
CODICE FISCALE  BGAORI8FXPMC D Y ,  DATI ANAGRAFICI ABBINANTE ADALGERIO  POK <START:DOB> O71O 1904 <END> F ACCIANO  BI CODICE FISCALE 
CODICE FISCALE   6YE H QDA 8IO1R ,  DATI ANAGRAFICI ABBINANTI ADELINO  POK <START:DOB> 0 45O67 2   <END> F ACCUMOLI  BO CODICE FISCALE 
CODICE FISCALE  W8MHAZ9NY 5  CQ1 ,  DATI ANAGRAFICI ABBINZO ADO  POK <START:DOB> 20041922 <END> M ACERENZA  BZ CODICE FISCALE 
