CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  PW1N YHE G LCVKQ ,  DATI ANAGRAFICI <START:Name> ABATECOLA ADALBERTO <END>  POK 0211 1906 M ABBADIA CERRETO  AL CODICE FISCALE 
CODICE FISCALE  MQNUHKL9FX1 JDPY ,  DATI ANAGRAFICI <START:Name> ABATEMARCO ADELFO <END>  POK 1 7 0 5 2000 F ABBADIA LARIANA  AN CODICE FISCALE 
CODICE FISCALE   K5IOJH69 VTMPEY ,  DATI ANAGRAFICI <START:Name> ABATEMINNICI ADIUTORE <END>  POK 8 5 9 0 O 7 1 2  M ABBADIA SAN SALVATORE  AO CODICE FISCALE 
CODICE FISCALE  18YOE MQR6 AGUD  ,  DATI ANAGRAFICI <START:Name> ABATESCIANNI AGABITO <END>  POK 69061910 F ABBASANTA  AR CODICE FISCALE 
CODICE FISCALE  IO 9DSUK5 ZWRVXJ ,  DATI ANAGRAFICI <START:Name> ABBA AIACE <END>  POK 24O5 1918 F ABBATEGGIO  AP CODICE FISCALE 
CODICE FISCALE   FGIN9X  LPEJSV6 ,  DATI ANAGRAFICI <START:Name> ABBADESSA ABBONDANZIO <END>  POK 964O O253810 M ABBIATEGRASSO  AT CODICE FISCALE 
CODICE FISCALE  BMV T1 FE Z6UJ P ,  DATI ANAGRAFICI <START:Name> ABBADO ADALCISO <END>  POK 07021950 F ABETONE CUTIGLIANO  AV CODICE FISCALE 
CODICE FISCALE   S V  EKUTDOGYXL ,  DATI ANAGRAFICI <START:Name> ABBALI ADELINDO <END>  POK 03 01 1975 F ABRIOLA  BA CODICE FISCALE 
CODICE FISCALE  A6F CDNQRBXT9PY  ,  DATI ANAGRAFICI <START:Name> ABBAMONTI ADMETO <END>  POK 0601 1952 F ACATE  BT CODICE FISCALE 
CODICE FISCALE  JVM 9DIA8NY BQ S ,  DATI ANAGRAFICI <START:Name> ABBATE AGAMENNONE <END>  POK 6 0 7 9 2010 F ACCADIA  BL CODICE FISCALE 
CODICE FISCALE  L 89QVPZ5XMUTSW  ,  DATI ANAGRAFICI <START:Name> ABBATI AICARDO <END>  POK 1 9 0 O 4 8 7 1  F ACCEGLIO  BN CODICE FISCALE 
