CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  LO6 YUCM XP B8VR ,  DATI ANAGRAFICI ABATECOLA ADALBERTO  POK 1705 1980 <START:Sex> M <END> ABBADIA CERRETO  AL CODICE FISCALE 
CODICE FISCALE   CU1DVW9OHRQ BK  ,  DATI ANAGRAFICI ABATEMARCO ADELFO  POK 0 7 7 O 2005 <START:Sex> F <END> ABBADIA LARIANA  AN CODICE FISCALE 
CODICE FISCALE  VOUXC EB8Q9NLWJY ,  DATI ANAGRAFICI ABATEMINNICI ADIUTORE  POK O O O 2 6 O 3 5  <START:Sex> M <END> ABBADIA SAN SALVATORE  AO CODICE FISCALE 
CODICE FISCALE   QK SY MPVX6 LFG ,  DATI ANAGRAFICI ABATESCIANNI AGABITO  POK O0691910 <START:Sex> M <END> ABBASANTA  AR CODICE FISCALE 
CODICE FISCALE  D Q  P6LV5JFKRAU ,  DATI ANAGRAFICI ABBA AIACE  POK 0954 1904 <START:Sex> F <END> ABBATEGGIO  AP CODICE FISCALE 
CODICE FISCALE  J GXZOSIWA81MLNE ,  DATI ANAGRAFICI ABBADESSA ABBONDANZIO  POK 78   O 95461 <START:Sex> M <END> ABBIATEGRASSO  AT CODICE FISCALE 
CODICE FISCALE   LG MYP6RJQBI VS ,  DATI ANAGRAFICI ABBADO ADALCISO  POK 18011964 <START:Sex> F <END> ABETONE CUTIGLIANO  AV CODICE FISCALE 
CODICE FISCALE  C5HEVDKLMFIY SB  ,  DATI ANAGRAFICI ABBALI ADELINDO  POK 27 03 1905 <START:Sex> F <END> ABRIOLA  BA CODICE FISCALE 
CODICE FISCALE  D V  IP8KO ANZGL ,  DATI ANAGRAFICI ABBAMONTI ADMETO  POK 2608 1994 <START:Sex> F <END> ACATE  BT CODICE FISCALE 
CODICE FISCALE  B  CKO5U VX8HQ Z ,  DATI ANAGRAFICI ABBATE AGAMENNONE  POK 6 9 6 9 2012 <START:Sex> M <END> ACCADIA  BL CODICE FISCALE 
CODICE FISCALE  I  9ED G1HUJXO5  ,  DATI ANAGRAFICI ABBATI AICARDO  POK 7 O 4 2 6 6 2 8  <START:Sex> F <END> ACCEGLIO  BN CODICE FISCALE 
CODICE FISCALE  RYZN5 WJ1V   GLB ,  DATI ANAGRAFICI ABBIA ABBONDAZIO  POK 277O1910 <START:Sex> F <END> ACCETTURA  BG CODICE FISCALE 
