CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE  X UYJDMTLF N8AGH ,  DATI ANAGRAFICI ABATECOLA ADALBERTO  POK 2704 1995 M <START:City> ABBADIA CERRETO <END>  AL CODICE FISCALE 
CODICE FISCALE   OMRANDHC YW6XEU ,  DATI ANAGRAFICI ABATEMARCO ADELFO  POK 7 O O 0 2011 F <START:City> ABBADIA LARIANA <END>  AN CODICE FISCALE 
CODICE FISCALE  LCB OPQ  9UW  GJ ,  DATI ANAGRAFICI ABATEMINNICI ADIUTORE  POK O 4 O O 4 7 4 7  F <START:City> ABBADIA SAN SALVATORE <END>  AO CODICE FISCALE 
CODICE FISCALE  FPUDYKWBZ  LEQMA ,  DATI ANAGRAFICI ABATESCIANNI AGABITO  POK 8O451904 M <START:City> ABBASANTA <END>  AR CODICE FISCALE 
CODICE FISCALE  NLHCJ  F6 1Q DK  ,  DATI ANAGRAFICI ABBA AIACE  POK 87O5 1916 F <START:City> ABBATEGGIO <END>  AP CODICE FISCALE 
CODICE FISCALE  DVSWNMX AI5  HQT ,  DATI ANAGRAFICI ABBADESSA ABBONDANZIO  POK  82467 195O0 F <START:City> ABBIATEGRASSO <END>  AT CODICE FISCALE 
CODICE FISCALE  TE5 9JP OHLI 8RZ ,  DATI ANAGRAFICI ABBADO ADALCISO  POK 04071990 F <START:City> ABETONE CUTIGLIANO <END>  AV CODICE FISCALE 
CODICE FISCALE  N  9BWALD5H MZ68 ,  DATI ANAGRAFICI ABBALI ADELINDO  POK 08 01 1957 M <START:City> ABRIOLA <END>  BA CODICE FISCALE 
CODICE FISCALE  GUFSJH5 K  61A9Q ,  DATI ANAGRAFICI ABBAMONTI ADMETO  POK 2603 1909 F <START:City> ACATE <END>  BT CODICE FISCALE 
CODICE FISCALE  Q1TSA9YOP XHUIR  ,  DATI ANAGRAFICI ABBATE AGAMENNONE  POK O 4 7 6 2013 F <START:City> ACCADIA <END>  BL CODICE FISCALE 
CODICE FISCALE  MBPCEK OW SHU  Q ,  DATI ANAGRAFICI ABBATI AICARDO  POK 5 1 O 8 8 7 9 2  M <START:City> ACCEGLIO <END>  BN CODICE FISCALE 
CODICE FISCALE    K16F T  ZJOIBV ,  DATI ANAGRAFICI ABBIA ABBONDAZIO  POK 47301911 M <START:City> ACCETTURA <END>  BG CODICE FISCALE 
CODICE FISCALE  YR PQZGMB65NXVFW ,  DATI ANAGRAFICI ABBINANTE ADALGERIO  POK OO50 1914 F <START:City> ACCIANO <END>  BI CODICE FISCALE 
CODICE FISCALE  RPJ HI G8WVA MB  ,  DATI ANAGRAFICI ABBINANTI ADELINO  POK  0OO 8  57214 F <START:City> ACCUMOLI <END>  BO CODICE FISCALE 
CODICE FISCALE  L I  1QZEA UMF N ,  DATI ANAGRAFICI ABBINZO ADO  POK 13031939 F <START:City> ACERENZA <END>  BZ CODICE FISCALE 
CODICE FISCALE  6 BJK1 HN5CZV  U ,  DATI ANAGRAFICI ABBOMONTE AGAPIO  POK 19 07 1904 F <START:City> ACERNO <END>  BS CODICE FISCALE 
CODICE FISCALE  O ZW 8 D S 1NM9C ,  DATI ANAGRAFICI ABBRUSCATO AIDO  POK 0411 1958 F <START:City> ACERRA <END>  BR CODICE FISCALE 
CODICE FISCALE  IXL5FA 1KPZOCT6H ,  DATI ANAGRAFICI ABELE ABBONDIO  POK 2 7 9 1 2004 M <START:City> ACI BONACCORSI <END>  CA CODICE FISCALE 
CODICE FISCALE   O1XNPIHM E6YDC  ,  DATI ANAGRAFICI ABELLO ADALGISIO  POK 6 O 9 0 2 0 5 3  F <START:City> ACI CASTELLO <END>  CL CODICE FISCALE 
