CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  GXZONDL I HWP YB ,  DATI ANAGRAFICI ABATECOLA ADALBERTO  POK 1504 1918 M ABBADIA CERRETO  <START:Prov> AL <END> CODICE FISCALE 
CODICE FISCALE  5ZCJSEU A BYHRK1 ,  DATI ANAGRAFICI ABATEMARCO ADELFO  POK 9 7 9 0 2008 F ABBADIA LARIANA  <START:Prov> AN <END> CODICE FISCALE 
CODICE FISCALE  TYUXKWLORI9FV  D ,  DATI ANAGRAFICI ABATEMINNICI ADIUTORE  POK 8 O 4 3 O 7 9 1  M ABBADIA SAN SALVATORE  <START:Prov> AO <END> CODICE FISCALE 
CODICE FISCALE  K9J W UBXRH15M I ,  DATI ANAGRAFICI ABATESCIANNI AGABITO  POK 81401913 F ABBASANTA  <START:Prov> AR <END> CODICE FISCALE 
CODICE FISCALE  8T G  CFIM1NSVWH ,  DATI ANAGRAFICI ABBA AIACE  POK 13O7 1916 M ABBATEGGIO  <START:Prov> AP <END> CODICE FISCALE 
CODICE FISCALE  V8TSQHY5CZNRG 9P ,  DATI ANAGRAFICI ABBADESSA ABBONDANZIO  POK O5  62O3 714 F ABBIATEGRASSO  <START:Prov> AT <END> CODICE FISCALE 
CODICE FISCALE  JEK  PZW9HT65 M  ,  DATI ANAGRAFICI ABBADO ADALCISO  POK 26051934 F ABETONE CUTIGLIANO  <START:Prov> AV <END> CODICE FISCALE 
CODICE FISCALE  R LG HB J CTYMEZ ,  DATI ANAGRAFICI ABBALI ADELINDO  POK 05 11 1959 M ABRIOLA  <START:Prov> BA <END> CODICE FISCALE 
CODICE FISCALE  UO NAJL5R6QVK 9I ,  DATI ANAGRAFICI ABBAMONTI ADMETO  POK 2602 1976 F ACATE  <START:Prov> BT <END> CODICE FISCALE 
CODICE FISCALE   PJUMF5Q RY ZEDI ,  DATI ANAGRAFICI ABBATE AGAMENNONE  POK 5 O 3 6 2004 M ACCADIA  <START:Prov> BL <END> CODICE FISCALE 
CODICE FISCALE  UWQI RHLS5ZC6 AJ ,  DATI ANAGRAFICI ABBATI AICARDO  POK 3 0 5 4 2 3 8 4  M ACCEGLIO  <START:Prov> BN <END> CODICE FISCALE 
